start_time,end_time,duration,asleep,soothing
2019-11-21 18:30:32,2019-11-21 18:31:52,80,80,0
2019-11-22 04:03:22,2019-11-22 05:07:17,3835,2422,1413
2019-11-22 05:53:24,2019-11-22 05:54:27,63,36,27
2019-11-22 05:52:51,2019-11-22 07:01:11,4100,3140,960
2019-11-22 22:51:19,2019-11-22 23:20:48,1769,1289,480
2019-11-23 00:08:07,2019-11-23 01:20:45,4358,3878,480
2019-11-23 01:50:52,2019-11-23 02:04:31,819,36,783
2019-11-23 02:03:24,2019-11-23 02:24:37,1273,75,1198
2019-11-23 03:21:17,2019-11-23 03:23:35,138,13,125
2019-11-23 04:02:47,2019-11-23 06:03:07,7220,6360,860
2019-11-23 23:44:47,2019-11-24 00:32:57,2890,2890,0
2019-11-24 00:49:48,2019-11-24 00:50:11,23,23,0
2019-11-24 00:50:16,2019-11-24 00:50:22,6,6,0
2019-11-24 00:50:30,2019-11-24 00:50:51,21,12,9
2019-11-24 01:38:47,2019-11-24 03:00:18,4891,4891,0
2019-11-24 03:41:38,2019-11-24 03:57:06,928,928,0
2019-11-24 04:04:18,2019-11-24 06:05:03,7245,7245,0
2019-11-24 06:33:39,2019-11-24 07:05:03,1884,1884,0
2019-11-24 08:10:47,2019-11-24 08:10:56,9,9,0
2019-11-24 08:10:45,2019-11-24 08:15:17,272,272,0
2019-11-24 08:44:46,2019-11-24 10:09:32,5086,5066,20
2019-11-24 11:04:48,2019-11-24 12:25:42,4854,4854,0
2019-11-24 13:28:09,2019-11-24 13:36:37,508,508,0
2019-11-24 14:19:54,2019-11-24 15:31:36,4302,4302,0
2019-11-24 17:59:16,2019-11-24 18:01:23,127,125,2
2019-11-24 18:21:37,2019-11-24 18:28:48,431,395,36
2019-11-24 23:57:20,2019-11-25 00:11:19,839,839,0
2019-11-25 00:50:59,2019-11-25 00:54:02,183,183,0
2019-11-25 01:58:05,2019-11-25 01:59:21,76,73,3
2019-11-25 02:22:16,2019-11-25 02:24:08,112,112,0
2019-11-25 03:03:26,2019-11-25 05:03:53,7227,7227,0
2019-11-25 05:22:54,2019-11-25 07:00:03,5829,5829,0
2019-11-25 07:35:56,2019-11-25 08:09:15,1999,1999,0
2019-11-25 08:45:30,2019-11-25 09:25:46,2416,2416,0
2019-11-25 09:34:42,2019-11-25 09:54:18,1176,1176,0
2019-11-25 11:04:29,2019-11-25 12:01:02,3393,3393,0
2019-11-25 14:05:31,2019-11-25 14:06:14,43,43,0
2019-11-25 16:10:12,2019-11-25 17:08:31,3499,3499,0
2019-11-25 18:22:57,2019-11-25 20:12:53,6596,6596,0
2019-11-25 20:58:01,2019-11-25 21:02:54,293,293,0
2019-11-26 00:37:06,2019-11-26 00:39:26,140,113,27
2019-11-26 00:54:21,2019-11-26 02:26:21,5520,5520,0
2019-11-26 03:01:36,2019-11-26 03:15:15,819,819,0
2019-11-26 04:06:25,2019-11-26 04:18:43,738,738,0
2019-11-26 04:20:04,2019-11-26 05:33:26,4402,4402,0
2019-11-26 06:04:59,2019-11-26 06:26:31,1292,1292,0
2019-11-26 23:57:48,2019-11-27 00:00:36,168,61,107
2019-11-27 01:51:49,2019-11-27 02:08:10,981,981,0
2019-11-27 02:34:04,2019-11-27 05:17:05,9781,9781,0
2019-11-27 05:57:51,2019-11-27 05:58:26,35,35,0
2019-11-27 06:05:25,2019-11-27 07:37:27,5522,5522,0
2019-11-27 08:20:50,2019-11-27 08:21:45,55,55,0
2019-11-27 08:47:48,2019-11-27 10:11:09,5001,5001,0
2019-11-27 12:16:49,2019-11-27 12:18:28,99,99,0
2019-11-27 12:31:46,2019-11-27 12:59:02,1636,1553,83
2019-11-27 13:22:30,2019-11-27 13:28:25,355,355,0
2019-11-27 13:51:56,2019-11-27 13:56:31,275,275,0
2019-11-27 14:13:24,2019-11-27 14:45:31,1927,1920,7
2019-11-27 16:11:48,2019-11-27 18:26:57,8109,8109,0
2019-11-27 23:56:52,2019-11-28 03:22:58,12366,12366,0
2019-11-28 03:52:54,2019-11-28 06:33:58,9664,9664,0
2019-11-28 07:01:10,2019-11-28 08:09:44,4114,4114,0
2019-11-28 09:14:56,2019-11-28 10:48:22,5606,5606,0
2019-11-28 11:47:10,2019-11-28 11:49:07,117,117,0
2019-11-28 14:53:50,2019-11-28 14:53:52,2,2,0
2019-11-28 14:53:28,2019-11-28 14:59:34,366,366,0
2019-11-28 16:24:29,2019-11-28 18:22:08,7059,7059,0
2019-11-28 18:33:35,2019-11-28 19:13:36,2401,2401,0
2019-11-28 19:14:49,2019-11-28 19:58:47,2638,2638,0
2019-11-28 21:38:34,2019-11-28 22:54:27,4553,4553,0
2019-11-29 00:05:14,2019-11-29 00:21:30,976,976,0
2019-11-29 00:22:34,2019-11-29 01:55:49,5595,5595,0
2019-11-29 02:46:15,2019-11-29 04:47:10,7255,7255,0
2019-11-29 05:49:34,2019-11-29 07:05:37,4563,4563,0
2019-11-29 07:26:37,2019-11-29 07:26:40,3,3,0
2019-11-29 07:24:28,2019-11-29 07:41:27,1019,1019,0
2019-11-29 08:04:20,2019-11-29 09:15:07,4247,4247,0
2019-11-29 11:23:10,2019-11-29 12:05:37,2547,2547,0
2019-11-29 12:34:46,2019-11-29 13:12:18,2252,2252,0
2019-11-29 15:26:31,2019-11-29 17:02:42,5771,5771,0
2019-11-29 19:00:34,2019-11-29 19:35:46,2112,2112,0
2019-11-29 21:21:08,2019-11-29 21:26:14,306,306,0
2019-11-29 21:54:04,2019-11-29 23:17:03,4979,4979,0
2019-11-30 00:37:00,2019-11-30 03:02:20,8720,8720,0
2019-11-30 03:40:14,2019-11-30 07:15:04,12890,12890,0
2019-11-30 08:11:29,2019-11-30 09:18:58,4049,4049,0
2019-11-30 10:06:43,2019-11-30 10:44:49,2286,2286,0
2019-11-30 11:05:59,2019-11-30 11:47:08,2469,2469,0
2019-11-30 16:18:24,2019-11-30 18:13:15,6891,6661,230
2019-11-30 21:46:00,2019-11-30 23:06:14,4814,4814,0
2019-12-01 01:01:59,2019-12-01 01:14:48,769,769,0
2019-12-01 01:55:06,2019-12-01 05:33:22,13096,13096,0
2019-12-01 13:59:34,2019-12-01 14:07:32,478,478,0
2019-12-01 15:01:18,2019-12-01 15:03:04,106,106,0
2019-12-01 16:42:34,2019-12-01 18:35:36,6782,6782,0
2019-12-01 20:38:34,2019-12-01 21:42:51,3857,3857,0
2019-12-02 00:27:12,2019-12-02 00:41:41,869,869,0
2019-12-02 00:54:08,2019-12-02 00:57:54,226,226,0
2019-12-02 01:13:09,2019-12-02 03:26:58,8029,8029,0
2019-12-02 03:48:56,2019-12-02 05:25:44,5808,5808,0
2019-12-02 06:35:02,2019-12-02 07:31:58,3416,3416,0
2019-12-02 08:00:35,2019-12-02 08:22:03,1288,1288,0
2019-12-02 08:25:21,2019-12-02 08:25:23,2,2,0
2019-12-02 08:33:56,2019-12-02 09:46:56,4380,4380,0
2019-12-02 13:52:10,2019-12-02 14:00:46,516,516,0
2019-12-02 15:13:28,2019-12-02 15:48:02,2074,2074,0
2019-12-02 15:48:27,2019-12-02 15:49:32,65,65,0
2019-12-02 16:17:50,2019-12-02 16:44:00,1570,1570,0
2019-12-02 17:18:18,2019-12-02 17:22:11,233,233,0
2019-12-02 17:41:58,2019-12-02 18:18:40,2202,2202,0
2019-12-02 23:20:54,2019-12-02 23:43:06,1332,1033,299
2019-12-03 00:17:42,2019-12-03 00:22:49,307,307,0
2019-12-03 02:13:41,2019-12-03 03:53:35,5994,5994,0
2019-12-03 04:27:26,2019-12-03 06:38:49,7883,7883,0
2019-12-03 07:25:33,2019-12-03 09:18:02,6749,6749,0
2019-12-03 10:10:30,2019-12-03 10:55:33,2703,2703,0
2019-12-03 12:49:12,2019-12-03 14:37:41,6509,6509,0
2019-12-03 15:00:20,2019-12-03 15:03:38,198,198,0
2019-12-03 15:12:32,2019-12-03 15:36:28,1436,1436,0
2019-12-03 15:39:10,2019-12-03 15:42:46,216,216,0
2019-12-03 16:10:00,2019-12-03 16:33:36,1416,1416,0
2019-12-03 17:04:18,2019-12-03 17:08:46,268,268,0
2019-12-03 19:03:17,2019-12-03 21:12:56,7779,7779,0
2019-12-04 00:12:20,2019-12-04 02:51:33,9553,9553,0
2019-12-04 03:19:19,2019-12-04 05:44:12,8693,8693,0
2019-12-04 06:46:12,2019-12-04 07:42:35,3383,3383,0
2019-12-04 07:52:17,2019-12-04 08:08:45,988,988,0
2019-12-04 08:14:38,2019-12-04 09:40:00,5122,5122,0
2019-12-04 10:17:13,2019-12-04 11:46:54,5381,5381,0
2019-12-04 14:58:08,2019-12-04 15:40:13,2525,2525,0
2019-12-04 20:24:54,2019-12-04 22:20:28,6934,6934,0
2019-12-05 00:43:50,2019-12-05 03:20:26,9396,9396,0
2019-12-05 03:52:19,2019-12-05 06:09:40,8241,8241,0
2019-12-05 07:17:08,2019-12-05 09:07:54,6646,6646,0
2019-12-05 09:53:19,2019-12-05 10:35:07,2508,2508,0
2019-12-05 11:27:54,2019-12-05 12:16:26,2912,2912,0
2019-12-05 15:01:12,2019-12-05 15:11:38,626,626,0
2019-12-05 15:20:50,2019-12-05 15:24:00,190,190,0
2019-12-05 15:38:58,2019-12-05 16:07:57,1739,1739,0
2019-12-05 16:42:10,2019-12-05 19:54:31,11541,11541,0
2019-12-05 20:42:45,2019-12-05 20:46:58,253,253,0
2019-12-05 21:38:11,2019-12-05 23:38:32,7221,7221,0
2019-12-06 01:51:10,2019-12-06 04:00:02,7732,7732,0
2019-12-06 04:38:24,2019-12-06 07:04:58,8794,8794,0
2019-12-06 07:47:32,2019-12-06 07:52:27,295,295,0
2019-12-06 08:10:06,2019-12-06 08:52:42,2556,2556,0
2019-12-06 09:35:46,2019-12-06 10:20:25,2679,2679,0
2019-12-06 10:55:07,2019-12-06 12:08:21,4394,4394,0
2019-12-06 12:53:22,2019-12-06 13:01:23,481,481,0
2019-12-06 13:09:45,2019-12-06 14:04:29,3284,3269,15
2019-12-06 15:04:42,2019-12-06 15:13:43,541,541,0
2019-12-06 15:20:49,2019-12-06 15:35:44,895,309,586
2019-12-06 15:51:25,2019-12-06 18:00:47,7762,7762,0
2019-12-06 19:42:00,2019-12-06 21:25:13,6193,6193,0
2019-12-07 00:41:08,2019-12-07 02:54:46,8018,8018,0
2019-12-07 03:47:08,2019-12-07 06:40:42,10414,10414,0
2019-12-07 07:08:08,2019-12-07 09:13:33,7525,7525,0
2019-12-07 12:53:48,2019-12-07 13:09:01,913,897,16
2019-12-07 14:51:46,2019-12-07 15:14:52,1386,1386,0
2019-12-07 15:47:16,2019-12-07 16:25:07,2271,2260,11
2019-12-07 17:26:49,2019-12-07 17:30:10,201,201,0
2019-12-07 17:41:42,2019-12-07 17:43:05,83,83,0
2019-12-07 18:11:24,2019-12-07 18:43:17,1913,1913,0
2019-12-07 19:34:04,2019-12-07 19:35:17,73,49,24
2019-12-07 20:15:14,2019-12-07 22:01:51,6397,6397,0
2019-12-07 22:43:07,2019-12-07 23:28:10,2703,2703,0
2019-12-07 23:38:47,2019-12-08 00:42:32,3825,3825,0
2019-12-08 00:59:46,2019-12-08 01:15:20,934,934,0
2019-12-08 02:34:21,2019-12-08 04:05:26,5465,5465,0
2019-12-08 04:18:55,2019-12-08 04:40:45,1310,1310,0
2019-12-08 05:04:27,2019-12-08 05:08:15,228,228,0
2019-12-08 05:15:41,2019-12-08 05:21:32,351,351,0
2019-12-08 05:34:49,2019-12-08 05:41:33,404,404,0
2019-12-08 05:56:32,2019-12-08 08:02:49,7577,7577,0
2019-12-08 08:38:47,2019-12-08 09:03:55,1508,1508,0
2019-12-08 09:57:42,2019-12-08 10:39:18,2496,2469,27
2019-12-08 12:03:22,2019-12-08 12:13:43,621,621,0
2019-12-08 12:47:04,2019-12-08 13:17:53,1849,1838,11
2019-12-08 13:58:53,2019-12-08 14:10:10,677,677,0
2019-12-08 14:50:11,2019-12-08 15:15:31,1520,1494,26
2019-12-08 16:03:03,2019-12-08 18:02:04,7141,7141,0
2019-12-08 19:43:28,2019-12-08 20:31:38,2890,2890,0
2019-12-08 21:37:22,2019-12-08 22:38:48,3686,3686,0
2019-12-08 23:27:11,2019-12-08 23:28:38,87,40,47
2019-12-09 00:14:31,2019-12-09 02:32:09,8258,8258,0
2019-12-09 03:26:59,2019-12-09 03:32:53,354,354,0
2019-12-09 03:45:53,2019-12-09 04:43:14,3441,3441,0
2019-12-09 04:44:49,2019-12-09 05:20:41,2152,2152,0
2019-12-09 05:31:38,2019-12-09 06:04:55,1997,1997,0
2019-12-09 06:21:58,2019-12-09 06:59:48,2270,2270,0
2019-12-09 07:00:57,2019-12-09 07:03:27,150,150,0
2019-12-09 07:25:36,2019-12-09 07:29:56,260,260,0
2019-12-09 07:51:53,2019-12-09 08:47:25,3332,3332,0
2019-12-09 09:12:25,2019-12-09 09:47:10,2085,2085,0
2019-12-09 10:11:04,2019-12-09 10:57:19,2775,2775,0
2019-12-09 12:34:05,2019-12-09 13:19:20,2715,2715,0
2019-12-09 14:19:12,2019-12-09 14:19:17,5,5,0
2019-12-09 14:19:12,2019-12-09 14:25:41,389,389,0
2019-12-09 15:05:42,2019-12-09 15:28:47,1385,1289,96
2019-12-09 16:37:23,2019-12-09 16:42:19,296,296,0
2019-12-09 16:55:14,2019-12-09 18:17:12,4918,4424,494
2019-12-09 18:30:30,2019-12-09 18:40:07,577,577,0
2019-12-09 19:36:47,2019-12-09 21:34:26,7059,7059,0
2019-12-09 23:12:16,2019-12-09 23:28:09,953,953,0
2019-12-10 01:03:07,2019-12-10 01:55:15,3128,3128,0
2019-12-10 02:24:35,2019-12-10 02:26:02,87,87,0
2019-12-10 02:51:16,2019-12-10 06:13:51,12155,12150,5
2019-12-10 06:46:37,2019-12-10 06:51:54,317,317,0
2019-12-10 07:06:51,2019-12-10 08:00:27,3216,3216,0
2019-12-10 08:25:36,2019-12-10 09:56:51,5475,5475,0
2019-12-10 12:27:52,2019-12-10 14:05:35,5863,5863,0
2019-12-10 14:33:14,2019-12-10 16:51:39,8305,8305,0
2019-12-10 18:14:02,2019-12-10 18:26:06,724,724,0
2019-12-10 19:00:45,2019-12-10 20:58:07,7042,7042,0
2019-12-10 22:17:54,2019-12-10 23:32:15,4461,4461,0
2019-12-11 01:27:12,2019-12-11 01:27:46,34,34,0
2019-12-11 01:31:58,2019-12-11 03:42:33,7835,7835,0
2019-12-11 04:06:39,2019-12-11 04:10:47,248,248,0
2019-12-11 04:34:39,2019-12-11 04:37:40,181,181,0
2019-12-11 05:12:36,2019-12-11 06:46:34,5638,5638,0
2019-12-11 07:19:30,2019-12-11 08:53:08,5618,5618,0
2019-12-11 11:54:12,2019-12-11 13:50:28,6976,6916,60
2019-12-11 15:30:13,2019-12-11 16:23:12,3179,3179,0
2019-12-11 16:59:17,2019-12-11 17:38:42,2365,2352,13
2019-12-11 18:42:34,2019-12-11 19:23:18,2444,2444,0
2019-12-11 22:01:35,2019-12-11 23:39:04,5849,5849,0
2019-12-11 23:41:23,2019-12-12 00:45:29,3846,3846,0
2019-12-12 01:22:38,2019-12-12 03:20:02,7044,7044,0
2019-12-12 04:26:10,2019-12-12 04:33:15,425,425,0
2019-12-12 04:42:32,2019-12-12 06:49:52,7640,7640,0
2019-12-12 07:24:29,2019-12-12 09:41:12,8203,8203,0
2019-12-12 13:31:03,2019-12-12 14:06:15,2112,2097,15
2019-12-12 16:53:12,2019-12-12 19:57:18,11046,11046,0
2019-12-12 21:24:43,2019-12-12 22:17:44,3181,3181,0
2019-12-12 22:42:59,2019-12-12 22:52:41,582,582,0
2019-12-12 22:54:21,2019-12-13 00:37:06,6165,6165,0
2019-12-13 01:08:12,2019-12-13 03:16:42,7710,7710,0
2019-12-13 03:49:11,2019-12-13 03:59:02,591,591,0
2019-12-13 04:56:44,2019-12-13 04:59:19,155,155,0
2019-12-13 05:46:09,2019-12-13 09:14:14,12485,12485,0
2019-12-13 12:15:13,2019-12-13 13:08:11,3178,3178,0
2019-12-13 14:09:26,2019-12-13 17:14:01,11075,11075,0
2019-12-13 18:06:19,2019-12-13 20:06:41,7222,7222,0
2019-12-13 21:34:59,2019-12-13 21:37:10,131,131,0
2019-12-13 21:45:35,2019-12-13 21:50:21,286,286,0
2019-12-13 23:04:52,2019-12-14 01:01:53,7021,7021,0
2019-12-14 02:02:18,2019-12-14 02:03:50,92,92,0
2019-12-14 02:21:18,2019-12-14 05:36:25,11707,11707,0
2019-12-14 06:33:58,2019-12-14 06:38:17,259,259,0
2019-12-14 07:32:29,2019-12-14 09:22:40,6611,6611,0
2019-12-14 22:56:40,2019-12-14 23:02:17,337,337,0
2019-12-14 23:14:35,2019-12-14 23:24:33,598,598,0
2019-12-14 23:38:02,2019-12-14 23:42:03,241,241,0
2019-12-15 00:02:07,2019-12-15 00:12:55,648,648,0
2019-12-15 00:15:28,2019-12-15 02:39:04,8616,8616,0
2019-12-15 02:54:51,2019-12-15 04:30:45,5754,5754,0
2019-12-15 04:47:01,2019-12-15 05:17:22,1821,1821,0
2019-12-15 05:44:55,2019-12-15 06:33:35,2920,2920,0
2019-12-15 06:45:37,2019-12-15 07:12:54,1637,1637,0
2019-12-15 07:21:43,2019-12-15 07:23:13,90,39,51
2019-12-15 07:34:57,2019-12-15 08:16:25,2488,2008,480
2019-12-15 08:55:39,2019-12-15 09:51:27,3348,3348,0
2019-12-15 10:24:04,2019-12-15 10:24:47,43,43,0
2019-12-15 11:26:01,2019-12-15 11:45:55,1194,714,480
2019-12-15 11:49:29,2019-12-15 11:53:30,241,210,31
2019-12-15 12:23:32,2019-12-15 12:55:40,1928,1928,0
2019-12-15 14:08:46,2019-12-15 14:57:31,2925,2925,0
2019-12-15 15:40:55,2019-12-15 16:39:14,3499,3499,0
2019-12-15 16:52:06,2019-12-15 16:53:09,63,63,0
2019-12-15 18:04:21,2019-12-15 19:23:32,4751,4751,0
2019-12-15 19:49:44,2019-12-15 19:58:13,509,509,0
2019-12-15 20:20:32,2019-12-15 21:00:37,2405,2405,0
2019-12-15 23:28:27,2019-12-15 23:53:10,1483,1483,0
2019-12-16 00:02:44,2019-12-16 03:12:22,11378,11378,0
2019-12-16 03:54:13,2019-12-16 05:58:42,7469,7469,0
2019-12-16 06:55:37,2019-12-16 08:58:47,7390,7390,0
2019-12-16 16:06:32,2019-12-16 16:09:46,194,194,0
2019-12-16 22:04:28,2019-12-17 01:28:34,12246,12246,0
2019-12-17 02:11:11,2019-12-17 02:21:59,648,648,0
2019-12-17 02:57:14,2019-12-17 05:29:10,9116,9116,0
2019-12-17 07:23:34,2019-12-17 08:08:34,2700,2700,0
2019-12-17 08:17:13,2019-12-17 09:42:47,5134,5134,0
2019-12-17 21:41:55,2019-12-18 01:42:12,14417,14417,0
2019-12-18 02:33:46,2019-12-18 02:37:19,213,213,0
2019-12-18 03:09:52,2019-12-18 06:14:14,11062,10831,231
2019-12-18 07:27:44,2019-12-18 09:00:02,5538,5538,0
2019-12-18 14:26:53,2019-12-18 15:06:46,2393,2348,45
2019-12-18 21:12:18,2019-12-18 21:46:23,2045,1531,514
2019-12-18 21:45:03,2019-12-18 21:47:54,171,171,0
2019-12-18 22:29:34,2019-12-19 01:42:05,11551,11551,0
2019-12-19 02:39:59,2019-12-19 05:04:16,8657,8657,0
2019-12-19 06:16:34,2019-12-19 08:16:20,7186,7186,0
2019-12-19 16:03:35,2019-12-19 16:10:50,435,435,0
2019-12-19 16:27:28,2019-12-19 16:28:01,33,33,0
2019-12-19 17:09:36,2019-12-19 17:10:55,79,79,0
2019-12-19 21:46:19,2019-12-19 21:54:40,501,501,0
2019-12-20 00:02:22,2019-12-20 02:14:46,7944,7944,0
2019-12-20 02:43:25,2019-12-20 05:39:35,10570,10570,0
2019-12-20 06:59:01,2019-12-20 07:01:45,164,164,0
2019-12-20 07:10:25,2019-12-20 08:20:58,4233,4233,0
2019-12-20 08:35:17,2019-12-20 09:12:14,2217,2192,25
2019-12-20 13:03:13,2019-12-20 13:04:55,102,102,0
2019-12-20 13:07:16,2019-12-20 13:07:48,32,32,0
2019-12-20 22:08:45,2019-12-21 01:21:42,11577,11577,0
2019-12-21 02:28:08,2019-12-21 05:15:21,10033,10033,0
2019-12-21 05:54:33,2019-12-21 05:56:08,95,95,0
2019-12-21 06:32:57,2019-12-21 08:38:34,7537,7537,0
2019-12-21 23:34:32,2019-12-22 02:39:21,11089,11089,0
2019-12-22 03:27:15,2019-12-22 06:02:08,9293,9293,0
2019-12-22 06:14:30,2019-12-22 06:15:54,84,69,15
2019-12-22 06:42:39,2019-12-22 06:45:07,148,148,0
2019-12-22 06:52:30,2019-12-22 07:45:18,3168,3168,0
2019-12-22 15:32:03,2019-12-22 16:29:44,3461,3461,0
2019-12-22 18:03:31,2019-12-22 18:40:33,2222,2222,0
2019-12-22 20:47:00,2019-12-22 21:14:34,1654,1654,0
2019-12-22 23:47:55,2019-12-23 03:42:52,14097,14097,0
2019-12-23 04:17:18,2019-12-23 04:18:38,80,80,0
2019-12-23 04:47:40,2019-12-23 07:22:03,9263,9263,0
2019-12-23 08:31:34,2019-12-23 08:33:40,126,126,0
2019-12-23 08:34:42,2019-12-23 08:36:10,88,88,0
2019-12-23 11:59:19,2019-12-23 12:06:09,410,410,0
2019-12-23 12:28:02,2019-12-23 13:16:48,2926,2926,0
2019-12-23 17:57:06,2019-12-23 21:14:23,11837,11837,0
2019-12-23 21:29:14,2019-12-24 00:51:52,12158,12158,0
2019-12-24 01:53:16,2019-12-24 04:25:50,9154,9154,0
2019-12-24 05:08:53,2019-12-24 05:10:27,94,94,0
2019-12-24 05:14:45,2019-12-24 06:56:23,6098,6098,0
2019-12-24 11:40:49,2019-12-24 12:11:28,1839,1839,0
2019-12-24 21:52:08,2019-12-24 23:47:43,6935,6935,0
2019-12-25 00:40:44,2019-12-25 04:12:14,12690,12690,0
2019-12-25 05:58:58,2019-12-25 05:59:27,29,29,0
2019-12-25 06:09:43,2019-12-25 08:10:30,7247,7247,0
2019-12-25 10:51:08,2019-12-25 11:41:16,3008,2975,33
2019-12-25 14:22:16,2019-12-25 15:38:36,4580,4580,0
2019-12-25 22:58:27,2019-12-25 23:50:25,3118,3118,0
2019-12-26 00:06:14,2019-12-26 00:07:52,98,98,0
2019-12-26 00:35:41,2019-12-26 04:12:15,12994,12994,0
2019-12-26 05:11:19,2019-12-26 07:34:50,8611,8600,11
2019-12-26 23:57:14,2019-12-27 03:07:26,11412,11412,0
2019-12-27 03:57:16,2019-12-27 06:50:19,10383,10383,0
2019-12-27 23:04:33,2019-12-27 23:07:04,151,151,0
2019-12-27 23:18:10,2019-12-27 23:18:58,48,48,0
2019-12-27 23:17:59,2019-12-27 23:18:23,24,24,0
2019-12-27 23:59:22,2019-12-28 03:59:00,14378,14378,0
2019-12-28 04:43:18,2019-12-28 07:24:38,9680,9680,0
2019-12-28 23:17:26,2019-12-29 02:49:28,12722,12722,0
2019-12-29 03:39:46,2019-12-29 06:16:10,9384,9384,0
2019-12-29 23:30:32,2019-12-30 02:42:58,11546,11519,27
2019-12-30 03:19:42,2019-12-30 03:20:27,45,45,0
2019-12-30 03:35:28,2019-12-30 05:14:34,5946,5946,0
2019-12-30 06:26:27,2019-12-30 08:19:51,6804,6804,0
2019-12-30 17:16:17,2019-12-30 18:00:11,2634,2634,0
2019-12-30 22:58:06,2019-12-30 23:30:01,1915,1915,0
2019-12-31 01:07:51,2019-12-31 04:15:10,11239,11239,0
2019-12-31 05:04:45,2019-12-31 07:13:34,7729,7729,0
